Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
2958,000;1097,4008;4462,7481;2640,4546;2162,2382;2750,2923;654,77717;2810,3238;569,48317;2493,0714;
2956,000;938,9237;4351,9199;2450,8929;2170,5684;2563,5238;654,96152;2947,9034;574,46462;2472,4898;
2954,000;1043,2979;4485,8084;2555,612;2412,1266;2645,4792;530,37992;2349,0758;569,30697;2482,6901;
2952,000;937,77577;4841,1089;2983,2951;2434,9872;2859,2302;703,50153;2433,9226;688,24648;2792,8764;
2950,000;896,41218;4835,0482;2768,6026;2199,0023;2916,8424;688,01128;3176,8619;646,49793;2703,0681;
2948,000;1022,0495;4690,1787;2832,287;2377,6072;2799,4888;818,84896;2751,2833;580,60051;2901,3029;
2946,000;1051,7616;5107,8068;3058,5425;2679,1176;2987,5357;680,94693;2477,0938;571,42839;3031,1266;
2944,000;1043,7332;5134,1555;3108,4254;2417,7604;2989,1216;728,0291;3119,207;815,71133;3264,3264;
2942,000;1028,5023;5020,2794;3153,6059;2526,5079;3093,3323;651,76934;2297,6069;779,80941;2907,3011;
2940,000;1240,4121;5064,705;3310,693;2644,2234;3204,0381;614,93196;2966,9737;467,74343;3196,582;
2938,000;1186,0467;4839,319;3288,0087;2401,3933;2946,7616;752,29789;2640,0663;489,88244;3042,8131;
2936,000;1015,8831;5027,9678;3083,1022;2544,9577;3113,5422;753,57934;2937,8542;654,10346;3144,3796;
2934,000;1252,0402;5190,816;3114,5631;2564,2409;2997,639;740,10511;2784,489;616,32449;2970,1322;
2932,000;997,44294;5116,2833;3297,6654;2552,6161;2998,101;695,4635;2984,3853;680,16487;2935,463;
2930,000;1101,4944;5130,1491;3206,8103;2597,2155;3179,4258;649,15291;3007,1072;718,69929;3084,9661;
2928,000;1096,4813;4979,7878;3291,6883;2529,0477;3118,5682;637,08042;3430,6604;566,66356;3069,575;
2926,000;1093,1429;4782,5576;3247,2653;2510,5765;2903,4359;710,46104;2538,5746;681,77976;2867,0522;
2924,000;1066,1486;4989,0556;3197,2618;2612,5014;3005,4369;492,05709;3261,8489;649,50332;2965,1026;
2922,000;1181,6038;4855,6222;3015,176;2340,0895;3055,1666;489,62048;2940,9405;669,94667;2724,5261;
2920,000;984,02022;4519,5464;2934,2608;2389,4776;2846,3028;609,87942;3055,5223;747,41362;2721,6103;
2918,000;929,05394;4734,9853;2927,5291;2396,5518;2699,1519;676,5305;2979,5253;634,89116;3003,6723;
2916,000;1018,1539;4710,9231;2826,5997;2345,515;2636,6632;610,88891;2483,747;672,7873;2663,2486;
2914,000;1037,6761;4692,138;3049,7613;2168,9279;2634,7963;522,43564;3162,2098;539,472;2808,5184;
2912,000;1045,8474;4382,5947;2972,5005;2353,8674;2716,5848;489,05574;2652,7542;777,81692;2822,1805;
2910,000;1031;4376,8537;2643,5765;2003,4304;2626,7548;551,70418;2748,8803;781,73817;2623,0812;
2908,000;997,62923;4352,2619;2957,5707;1717,2304;2530,9665;535,82334;2394,7176;694,80957;2476,4438;
2906,000;936,74848;4385,8321;2589,063;1944,2576;2380,2728;537,07796;2596,4995;460,97154;2403,6173;
2904,000;838,09758;3881,6765;2544,8201;1999,5521;2317,9907;479,65023;2338,9634;582,41759;2317,0705;
2902,000;834,77999;3656,0996;2427,4698;1824,5589;2240,1678;472,00584;2134,7437;557,42113;2376,5132;
2900,000;760,68001;3620,0889;2392,3999;1918,6968;2168,5886;472,46095;2601,8025;593,89653;2072,9651;
2898,000;732,05591;3474,2026;2006,2694;1757,991;1927,3326;526,05657;2258,9515;487,70323;2073,9658;
2896,000;932,52605;3215,2489;2028,1373;1656,2577;2059,549;332,94681;1946,6006;432,1044;1970,8792;
2894,000;635,17089;3254,602;2009,0758;1653,47;1946,1973;465,22608;1767,2266;445,01328;1911,3567;
2892,000;782,89465;3050,2347;2170,1001;1672,2862;1839,1176;343,57506;1974,8083;488,87575;1857,2911;
2890,000;723,0704;3053,3775;1892,4128;1480,093;1813,7265;453,62121;1983,8259;354,23607;2036,3822;
2888,000;797,90751;2948,8127;1813,9847;1625,377;1722,3833;347,06589;2314,2202;375,65283;1802,3348;
2886,000;708,51196;2859,1649;1926,0946;1304,7295;1543,784;334,30891;1678,8073;310,28116;1834,1478;
2884,000;632,35172;2879,3579;1807,7685;1431,1972;1614,8411;330,66985;1951,2875;431,00232;1572,4724;
2882,000;588,94479;2853,8955;1557,1075;1233,8994;1807,4279;347,82151;1459,0753;449,44768;1608,7078;
2880,000;568,22118;2832,4248;1869,5114;1285,7853;1646,986;468,69997;1196,7669;478,1409;1694,3343;
2878,000;688,561;2575,8871;1697,1481;1437,937;1795,8986;271,65298;1637,3024;273,41078;1581,6262;
2876,000;769,59084;2638,3883;1622,6777;1488,0395;1773,0988;221,8302;1970,1762;364,52723;1654,2085;
2874,000;505,09809;2631,6717;1628,6286;1230,3628;1578,0913;270,31504;1943,2804;388,1173;1715,7821;
2872,000;635,68258;2652,3283;1721,7964;1268,409;1534,7757;368,1818;1861,3863;309,01324;1426,1622;
2870,000;527,73435;2454,0333;1748,0628;1205,4027;1564,1791;389,68357;2447,3146;346,44597;1373,0705;
2868,000;389,44196;2135,5719;1469,6309;1166,3096;1392,773;238,45234;1347,0204;314,24996;1324,8783;
2866,000;590,86809;2055,1668;1343,4609;1048,0412;1301,9044;246,80126;1228,1534;324,46989;1159,446;
2864,000;363,72972;1701,7437;1081,9541;862,73897;1094,8827;206,30712;1238,6907;213,89886;1040,4456;
2862,000;505,76306;1379,2612;915,4273;735,2191;862,43411;173,82659;1266,3167;302,42997;853,15172;
2860,000;545,99244;1189,585;749,88549;684,18632;688,27164;140,7093;961,72963;290,07028;711,59626;
2858,000;428,50919;1014,9804;701,52121;598,05451;675,67266;220,72992;812,59325;192,10177;588,23084;
2856,000;421,93404;966,55224;655,60856;412,10961;562,94147;133,37357;689,354;151,37394;581,05165;
2854,000;232,4444;802,53055;652,25854;265,64669;590,97954;239,80052;101,39192;219,15264;483,12291;
2852,000;229,98125;713,27568;485,17015;403,69311;551,2992;64,939154;380,76804;201,04321;481,64949;
2850,000;263,24254;822,03802;631,81053;342,64885;453,38543;168,28352;976,87365;133,32225;310,85297;
2848,000;347,6891;666,97395;448,68974;280,85201;449,89369;197,44996;468,2367;143,77738;409,42405;
2846,000;182,404;764,58537;259,56938;243,55864;354,72826;168,59614;880,33227;230,03552;326,34834;
2844,000;339,90846;666,1764;411,25141;188,84838;228,13124;41,851896;857,90241;9,480353;362,0933;
2842,000;191,65537;515,56579;448,96074;98,214832;246,30514;42,746259;902,50965;61,602103;391,46722;
2840,000;170,0624;346,26081;363,10247;304,34388;309,37994;121,73582;722,43147;129,16269;223,57916;
2838,000;145,62931;418,93743;251,87661;164,77417;309,41308;114,59095;553,24686;92,852347;339,78201;
2836,000;156,53223;370,69679;190,28794;107,89189;239,49033;10,623471;578,37253;90,571118;166,9762;
2834,000;217,96357;315,48546;238,68442;113,38509;236,64511;-45,943805;458,49987;98,085345;230,72862;
2832,000;130,05184;233,3999;139,99101;186,61775;168,95453;41,997227;630,36146;165,54617;166,67479;
2830,000;49,679921;166,16688;132,50719;168,96017;34,32861;87,573118;1181,2692;151,6677;103,93674;
2828,000;9,7326957;164,26492;128,34063;112,35501;119,57146;89,470107;161,38108;98,481206;125,63716;
2826,000;156,65513;208,26989;96,062837;283,0523;148,84846;54,327736;164,16031;38,36035;171,55185;
2824,000;191,13512;195,11812;160,48192;129,00879;75,903894;68,459019;615,75708;136,52637;188,24484;
2822,000;99,415535;273,34463;99,206081;21,076543;103,98839;88,988461;784,99549;86,788774;251,8364;
2820,000;283,93011;161,40203;100,41428;16,00817;101,9304;156,46529;307,25076;73,582185;156,37596;
2818,000;138,69154;204,92558;163,56353;15,336069;159,24435;250,55387;-153,99752;103,54338;194,21077;
2816,000;74,498051;196,83196;-42,722083;44,057496;30,003998;28,807538;-1,8234007;41,456589;224,48833;
2814,000;136,50028;89,212928;170,32087;160,16867;23,176611;11,771998;-325,26507;35,830894;86,730413;
