Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
2806,000;116,22293;160,07615;54,746246;-20,46072;164,14223;
2804,000;189,35219;91,107929;103,43488;37,265237;145,71694;
2802,000;29,698754;191,92839;94,614094;40,022094;166,88264;
2800,000;58,270779;187,08388;64,574802;120,54065;63,198645;
2798,000;15,560616;29,329841;76,329608;43,627401;103,4659;
2796,000;-0,26046856;87,830325;96,180209;194,59136;33,788449;
2794,000;102,32629;157,56339;147,95276;176,67271;104,02084;
2792,000;30,024052;126,39942;111,19882;164,92964;292,74803;
2790,000;67,058048;243,63335;32,200852;117,75297;181,33042;
2788,000;99,369323;235,82739;102,25587;65,215084;35,541579;
2786,000;79,481048;242,29539;137,55547;41,424793;72,010109;
2784,000;92,610887;243,51328;118,46646;5,083864;180,46072;
2782,000;168,19945;159,05784;201,79279;96,059818;213,91863;
2780,000;54,53125;171,07954;9,7308309;241,73593;32,531685;
2778,000;68,411033;246,21305;144,26774;97,296553;190,97518;
2776,000;124,96752;162,00344;-25,798567;106,91127;158,00451;
2774,000;80,678801;236,22814;195,86752;23,884726;86,928534;
2772,000;103,98662;187,15597;240,7622;149,71775;127,7659;
2770,000;68,377787;222,2635;202,18113;-15,241176;44,930453;
2768,000;137,74388;269,85462;215,76089;191,07992;243,78057;
2766,000;96,51061;272,3243;214,98067;250,37696;236,36855;
2764,000;56,121581;244,76774;157,6974;238,93226;172,5537;
2762,000;38,078019;232,44731;245,56749;161,97096;235,36891;
2760,000;82,290194;337,21697;132,37563;167,31623;173,44652;
2758,000;-8,2582073;177,09665;230,60386;174,1751;196,29631;
2756,000;-27,786653;273,17456;193,92626;170,18658;104,57962;
2754,000;70,805701;273,89777;121,56493;155,22811;34,535637;
2752,000;30,134084;195,75001;283,0629;163,08315;116,28496;
2750,000;2,0395488;302,5981;67,797543;119,3201;153,06846;
2748,000;-50,113705;193,84174;203,3832;109,82728;83,164464;
2746,000;75,135958;229,05316;183,09977;42,667566;44,39672;
2744,000;49,717785;256,76439;111,48297;-16,0852;132,79165;
2742,000;-6,4738508;256,24947;72,040006;73,094773;39,135981;
2740,000;35,71188;304,93854;69,687488;115,05326;35,785406;
2738,000;-75,171555;248,70393;125,96194;144,00991;194,55963;
2736,000;57,118516;77,285687;69,974661;74,035724;139,03601;
2734,000;-11,843436;159,57262;219,46604;80,741713;260,57442;
2732,000;62,939967;171,11368;163,90744;127,1629;223,90468;
2730,000;129,91613;284,55556;97,816112;134,62865;149,76168;
2728,000;90,775472;61,28948;78,721102;121,90332;197,7772;
2726,000;114,30175;49,230086;88,111844;64,176833;119,51168;
2724,000;96,942374;59,456618;53,088119;149,26702;156,84444;
2722,000;187,32343;105,24819;27,903592;207,05583;42,423958;
2720,000;110,01166;120,02068;158,3238;209,85829;121,92905;
2718,000;55,322922;88,465839;109,30554;119,2032;114,2307;
2716,000;75,154949;66,267453;190,95838;130,5941;85,400461;
2714,000;39,153993;66,979001;127,1105;111,87917;243,25996;
2712,000;100,52353;220,66058;182,01444;51,916748;212,0459;
2710,000;107,85716;117,63013;110,58825;55,934303;105,70093;
2708,000;65,80581;111,3667;77,329652;121,86372;115,31033;
2706,000;76,224538;-43,540291;200,8185;112,76692;167,41805;
2704,000;64,308703;35,184273;108,44425;28,290566;134,51758;
2702,000;26,103421;98,569375;128,6154;140,1008;-85,401857;
2700,000;77,137432;109,95854;49,247501;153,59775;50,388637;
2698,000;115,30148;-91,941449;-10,822124;54,33673;-26,843613;
2696,000;10,162007;121,77332;63,172651;39,029586;48,623523;
2694,000;103,19037;116,28359;34,108691;-13,957718;143,98083;
2692,000;26,705476;-29,62749;126,91418;128,2391;118,98991;
2690,000;30,543292;10,247055;20,860916;36,889769;80,66361;
2688,000;58,597053;82,660721;77,667102;66,623773;48,138622;
2686,000;44,35924;1,9066677;88,086721;55,841672;-33,367798;
2684,000;2,7587007;18,874586;-32,707574;48,352438;-37,727646;
2682,000;113,86894;26,963313;27,203602;89,931934;117,32081;
2680,000;80,310986;66,612453;45,184535;84,233253;6,6360305;
2678,000;3,5194467;76,779061;16,357149;44,25849;-22,32196;
2676,000;77,471925;57,022196;-57,195265;5,976439;53,04574;
2674,000;26,477643;19,144357;77,154962;25,567075;38,88557;
2672,000;89,187702;8,7002291;98,102345;11,190808;83,533772;
2670,000;75,681529;1,2464142;82,12779;4,3591433;6,7633935;
2668,000;98,172132;0,76298446;68,439491;34,05212;4,1564419;
2666,000;166,38604;-21,975329;-23,296129;12,164003;45,049484;
2664,000;95,148215;12,005461;18,400402;-15,126248;26,613858;
2662,000;106,06365;16,981645;22,244974;3,0806638;26,472466;
2660,000;61,857028;41,536756;12,662048;101,61206;9,1565952;
2658,000;109,82822;4,9991795;31,160424;-4,5662871;-5,63836;
2656,000;15,066863;2,7743686;89,137786;25,027179;64,043289;
2654,000;61,922437;83,642671;56,15408;-20,291061;44,542927;
2652,000;58,210273;56,490901;78,557573;27,61711;47,177945;
2650,000;34,574348;93,260735;29,470984;95,384252;57,406145;
2648,000;71,981401;85,79845;31,260598;57,14448;27,418922;
2646,000;-4,1255719;49,612199;49,968481;-32,688707;87,863796;
2644,000;19,506341;92,824929;-45,319807;-22,245227;17,580272;
2642,000;23,803616;69,780013;67,905592;41,023483;32,871771;
2640,000;83,138527;37,576852;78,478624;51,663658;3,81904;
2638,000;56,37597;54,272587;83,842385;31,752216;-64,310043;
2636,000;32,747403;54,154907;125,78739;50,182008;56,802671;
2634,000;87,654299;35,209864;63,78623;73,306805;-7,1690404;
2632,000;43,749361;71,56829;3,3560143;68,664655;12,898822;
2630,000;7,7392171;77,27483;51,650854;87,618268;22,807606;
2628,000;26,700777;38,525756;12,781001;69,191365;31,745895;
2626,000;26,372493;42,873837;88,288911;-20,575522;56,29656;
2624,000;93,810851;75,720951;32,367404;-13,415934;82,092495;
