Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
2846,000;-23,687983;551,40552;610,54187;449,16711;611,01179;
2844,000;-16,680553;429,7926;515,02636;480,4512;438,19669;
2842,000;-74,048624;419,07643;481,24614;472,49548;502,87327;
2840,000;-16,64769;316,70848;543,26382;327,06847;520,9593;
2838,000;8,6956965;283,54609;471,82435;255,20531;402,16405;
2836,000;-119,40313;274,81183;467,85216;428,5983;405,27045;
2834,000;-29,514816;309,23456;261,31334;367,84908;453,42031;
2832,000;75,544358;336,48765;198,70932;363,48514;438,66867;
2830,000;-0,43973769;376,68824;223,85118;286,44806;374,49879;
2828,000;31,682393;280,0734;160,13931;292,08587;301,12005;
2826,000;-122,11149;267,16336;286,00441;288,30898;263,17671;
2824,000;56,699068;249,38035;222,78948;83,163709;255,16336;
2822,000;2,7714245;235,47259;173,27964;313,17064;238,57733;
2820,000;19,624142;331,61447;167,41422;266,84448;320,55398;
2818,000;44,268338;203,72021;287,79849;142,04006;258,44326;
2816,000;-2,648047;129,76927;156,95505;122,23966;318,33516;
2814,000;-110,41489;129,78973;115,99575;252,65414;298,75076;
2812,000;-83,880593;80,366994;174,47803;163,7632;183,44762;
2810,000;-28,588298;183,89344;169,20113;180,37843;180,26554;
2808,000;-27,493927;111,0053;123,10523;158,78566;247,54871;
2806,000;40,659464;81,245406;161,54752;167,39533;277,29119;
2804,000;113,76738;187,1929;219,74752;84,455149;201,81525;
2802,000;-45,907418;76,761396;151,78806;85,506571;200,6084;
2800,000;-17,356746;36,098911;221,35257;41,424313;266,7293;
2798,000;-60,088261;107,64499;258,53402;250,07651;229,00894;
2796,000;-75,930699;231,10021;84,641541;145,29735;316,11379;
2794,000;26,634709;276,4565;190,75239;93,029534;251,63386;
2792,000;-45,688885;175,25833;16,355803;96,28759;275,96026;
2790,000;-8,676242;185,68188;213,00736;161,56746;274,64566;
2788,000;23,613679;205,60459;233,47392;189,23661;209,6337;
2786,000;3,7040515;183,04241;198,47451;176,32062;212,06754;
2784,000;16,812538;230,34738;230,83077;190,53486;261,23616;
2782,000;92,379745;114,46978;185,44448;254,25833;213,6093;
